VERSION_INDEX;FILE_NAME;LOC;LOC_ADDED;MAX_LOC_ADDED;AVG_LOC_ADDED;NR;NFIX;AUTHORS;CHURN;MAX_CHURN;BUGGYNESS
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;261;235;235;6.184210526315789;2;0;2;235;235;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;113;101;101;2.148936170212766;1;0;3;101;101;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;258;212;212;4.51063829787234;1;0;3;212;212;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;214;229;223;4.872340425531915;3;0;3;193;223;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;234;227;224;4.829787234042553;2;0;3;217;224;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;304;255;253;5.425531914893617;2;0;3;252;253;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;222;218;193;4.638297872340425;3;0;3;203;193;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;1040;899;896;19.127659574468087;2;0;3;896;896;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;90;82;81;1.7446808510638299;2;0;3;79;81;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;75;63;63;1.3404255319148937;1;0;3;63;63;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;182;177;175;3.765957446808511;3;0;3;169;175;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;117;107;106;2.276595744680851;2;0;3;105;106;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;55;46;46;1.0;2;0;3;46;46;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;164;147;136;3.127659574468085;2;0;3;144;136;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;114;96;96;2.0425531914893615;1;0;3;96;96;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;119;104;103;2.2127659574468086;2;0;3;102;103;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;60;56;55;1.1914893617021276;2;0;3;52;55;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;72;64;64;1.3617021276595744;1;0;3;64;64;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;42;40;40;0.851063829787234;1;0;3;40;40;No
