Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,3,286,2,0.0,0.0,0.9896193771626297,-0.008316008316011309
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,20,8,241,45,0.7142857142857143,0.3076923076923077,0.8795489650911338,0.3489554807918004
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,7,299,7,0.125,0.125,0.9142156862745098,0.10212418300653557
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,13,13,265,24,0.5,0.35135135135135137,0.91687730896364,0.34964566709447
AVRO,1,0.449438202247191,0.0,0.2755102040816326,IBK,NO,NO,SENSITIVE LEARNING,0,0,71,27,NaN,0.0,0.647887323943662,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,IBK,NO,NO,SENSITIVE LEARNING,1,25,75,2,0.038461538461538464,0.3333333333333333,0.5483333333333333,0.01766160367361344
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,IBK,NO,NO,SENSITIVE LEARNING,15,17,243,21,0.46875,0.4166666666666667,0.6423076923076924,0.3689407540394972
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,IBK,NO,NO,SENSITIVE LEARNING,0,1,147,10,0.0,0.0,0.4966216216216216,-0.011641443539000028
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,IBK,NO,NO,SENSITIVE LEARNING,1,9,147,2,0.1,0.3333333333333333,0.6378205128205128,0.12855007473841562
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,IBK,NO,NO,SENSITIVE LEARNING,0,3,437,0,0.0,NaN,NaN,0.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,IBK,NO,NO,SENSITIVE LEARNING,22,0,10,204,1.0,0.09734513274336283,0.5199115044247787,0.009056479499423677
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,IBK,NO,NO,SENSITIVE LEARNING,10,223,5,1,0.04291845493562232,0.9090909090909091,0.4655103668261563,-0.006504982139499909
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,IBK,NO,NO,SENSITIVE LEARNING,10,259,225,35,0.03717472118959108,0.2222222222222222,0.3421717171717172,-0.0960562665614252
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,IBK,NO,NO,SENSITIVE LEARNING,2,43,200,24,0.044444444444444446,0.07692307692307693,0.4499841722063944,-0.07542216122680367
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,IBK,NO,NO,SENSITIVE LEARNING,3,23,251,1,0.11538461538461539,0.75,0.8334854014598541,0.17953762911952736
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,IBK,NO,NO,SENSITIVE LEARNING,0,5,282,4,0.0,0.0,0.4912891986062718,-0.015509887553313503
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,IBK,NO,NO,SENSITIVE LEARNING,0,1,288,2,0.0,0.0,0.4982698961937716,-0.004602991944765778
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,IBK,NO,NO,SENSITIVE LEARNING,11,10,239,54,0.5238095238095238,0.16923076923076924,0.5695396972505407,0.1721183158935489
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,IBK,NO,NO,SENSITIVE LEARNING,0,9,297,8,0.0,0.0,0.4852941176470588,-0.027724297266075084
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,IBK,NO,NO,SENSITIVE LEARNING,15,50,228,22,0.23076923076923078,0.40540540540540543,0.6127746451487459,0.169838945827233
AVRO,1,0.449438202247191,0.0,0.2755102040816326,RANDOM FOREST,UNDERSAMPLING,NO,NO,0,0,71,27,NaN,0.0,0.5,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,RANDOM FOREST,UNDERSAMPLING,NO,NO,3,5,95,0,0.375,1.0,0.9833333333333333,0.5253456221198156
