Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,3,0,531,57,1.0,0.05,0.6903013182674199,0.08640468635587062
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,76,13,157,373,0.8539325842696629,0.16926503340757237,0.3559085549587318,0.05596997234294749
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,NO,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.5052669552669553,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,NO,NO,SENSITIVE LEARNING,17,90,346,12,0.1588785046728972,0.5862068965517241,0.6825767162290415,0.16839078444436664
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,NO,NO,SENSITIVE LEARNING,13,27,504,47,0.325,0.21666666666666667,0.5917608286252354,0.19458563535911622
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,NO,NO,SENSITIVE LEARNING,66,22,148,383,0.75,0.14699331848552338,0.5087907768898206,0.010592827345596943
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,UNDERSAMPLING,NO,NO,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,UNDERSAMPLING,NO,NO,22,94,342,7,0.1896551724137931,0.7586206896551724,0.9073078139829168,0.22623852908710504
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,UNDERSAMPLING,NO,NO,45,101,430,15,0.3082191780821918,0.75,0.8504394224733208,0.3422370617696162
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,UNDERSAMPLING,NO,NO,143,23,147,306,0.8614457831325302,0.3184855233853007,0.5259006943534652,0.12074243255028771
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,UNDERSAMPLING,NO,NO,1,1,197,104,0.5,0.009523809523809525,0.3154160654160654,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,UNDERSAMPLING,NO,NO,22,109,327,7,0.16793893129770993,0.7586206896551724,0.8477538753559001,0.19253914553456455
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,UNDERSAMPLING,NO,NO,50,409,122,10,0.10893246187363835,0.8333333333333334,0.8049905838041431,0.015974631331735843
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,UNDERSAMPLING,NO,NO,127,20,150,322,0.8639455782312925,0.2828507795100223,0.5144438621773877,0.1064503330266168
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,UNDERSAMPLING,NO,NO,0,0,198,105,NaN,0.0,0.5052669552669553,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,UNDERSAMPLING,NO,NO,23,127,309,6,0.15333333333333332,0.7931034482758621,0.7504745333755141,0.17025558462467308
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,UNDERSAMPLING,NO,NO,44,110,421,16,0.2857142857142857,0.7333333333333333,0.7630885122410546,0.3104616923162399
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,UNDERSAMPLING,NO,NO,327,152,18,122,0.6826722338204593,0.7282850779510023,0.41708371544608935,-0.1754522142906644
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,1,0,436,28,1.0,0.034482758620689655,0.5172413793103449,0.06276993953354494
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,4,1,530,56,0.8,0.06666666666666667,0.5323917137476459,0.10916303054343579
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,25,0,170,424,1.0,0.0556792873051225,0.5278396436525612,0.03137040700335111
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,1,1,197,104,0.5,0.009523809523809525,0.5022366522366523,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,21,98,338,8,0.17647058823529413,0.7241379310344828,0.749683644416324,0.2039471559158889
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,48,145,386,12,0.24870466321243523,0.8,0.7634651600753296,0.26571069062937736
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,83,2,168,366,0.9764705882352941,0.18485523385300667,0.5865452639853269,0.10394310350253329
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,23,127,309,6,0.15333333333333332,0.7931034482758621,0.7509095223030686,0.17025558462467308
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,44,110,421,16,0.2857142857142857,0.7333333333333333,0.7630885122410546,0.3104616923162399
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,327,152,18,122,0.6826722338204593,0.7282850779510023,0.41708371544608935,-0.1754522142906644
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,22,21,415,7,0.5116279069767442,0.7586206896551724,0.9046583359696299,0.5798102368811724
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,53,16,515,7,0.7681159420289855,0.8833333333333333,0.9602636534839925,0.7999823422946186
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,103,11,159,346,0.9035087719298246,0.22939866369710468,0.5498886414253897,0.10215134586084308
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,1,1,197,104,0.5,0.009523809523809525,0.3154160654160654,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,25,124,312,4,0.16778523489932887,0.8620689655172413,0.8320151850680164,0.1970645370170517
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,4,1,530,56,0.8,0.06666666666666667,0.6928436911487759,0.10916303054343579
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,366,148,22,83,0.7120622568093385,0.8151447661469933,0.5156884580112668,-0.06291767329492641
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.5052669552669553,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,16,36,400,13,0.3076923076923077,0.5517241379310345,0.7345776652957925,0.3424052642211898
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,51,30,501,9,0.6296296296296297,0.85,0.8967514124293785,0.6868810368015652
